,target_mean
0,0.13407678
1,0.88429504
2,-0.26443343
3,0.81287193
4,1.28851375
5,-0.08326759
6,-1.26439798
7,0.51245
8,2.0705285
9,-0.53780598
10,2.94530448
11,0.68559937
12,1.26354222
13,-0.21109728
14,-5.75407093
15,0.7321207800000001
16,1.86382229
17,-1.61451739
18,0.49282857
19,-0.8682581
20,1.06960051
21,-0.89528368
22,3.14186275
23,-2.38363839
24,1.01606211
25,-3.77495818
26,-0.6865357
27,0.54631302
28,3.40047993
29,-0.61294843
30,0.12237794
31,1.62306329
32,-1.04530793
33,-0.4981946
34,0.08174664
35,-0.7876791
36,0.46054621
37,0.5291017
38,-0.60188063
39,-4.60809866
40,0.18994877
41,-2.3625396
42,0.39590191
43,0.16731043
44,0.16518174
45,-1.49676651
46,3.6000451
47,1.31661368
48,0.72006852
49,-3.10721076
50,1.96387567
51,-1.471177
52,4.51435799
53,1.47066378
54,-0.06563235
55,0.0571630799999999
56,0.59420275
57,-0.86658845
58,0.38580382
59,-0.23909076
60,-0.07357641
61,-0.24710235
62,0.0
63,3.3707996
64,0.57147439
65,-0.34234223
66,0.0
67,-0.8931551300000001
68,0.4731351699999999
69,0.40578601
70,0.0101482
71,-0.04088182
72,-1.8417408
73,1.2966210699999998
74,-33.21928095
75,-2.12809228
76,-0.14138034
77,0.0053928
78,-0.58888654
79,-0.35951045
80,-8.6321842
81,0.2555077
82,-1.14712687
83,-0.42789907
84,0.74649787
85,-1.40947768
86,0.0298826
87,-1.30202278
88,1.51510367
89,0.0
90,-1.0391706
91,1.08746284
92,1.96576323
93,-0.81106224
94,0.33202996
95,-0.3969246699999999
96,0.59140459
97,-0.80790027
98,2.17096678
99,0.08604674
100,-3.22650853
101,1.4508768700000003
102,0.48787978
103,0.73333548
104,0.53919716
105,0.48427994
106,-2.23707116
107,0.5576444
108,-0.76998018
109,0.24857635
110,0.67711712
111,-1.03741343
112,-2.75879133
113,-0.35319458
114,2.32267995
115,-1.21488278
116,0.73154054
117,-0.04075957
118,-0.73955103
119,-0.02413458
120,-0.10999983
121,-33.21928095
122,0.05477231
123,0.03636354
124,0.72491995
125,1.23778331
126,0.85630414
127,0.77551363
128,2.05003879
129,-0.78868937
130,2.9298151800000003
131,-1.48534569
132,1.33850868
133,1.51239525
134,0.8042053
135,0.0802909999999999
136,0.37528568
137,0.5104486
138,0.13752976
139,3.24987161
140,-1.1512062
141,-0.55577372
142,-0.15173442
143,-0.2089103
144,-2.35376588
145,0.14478166
146,-1.0529243
147,0.5745937
148,1.55259472
149,1.1534756
150,-0.52581832
151,0.78428929
152,0.27973476
153,0.19543327
154,1.99447966
155,-0.2215859399999999
156,-2.35056973
157,-1.06173576
158,-1.1151296
159,-0.58074757
160,1.20835472
161,0.4414104499999999
162,-0.78537641
163,-3.79603992
164,0.70236048
165,3.02051789
166,-0.19796714
167,2.37782777
168,0.0998736199999999
169,1.12239246
170,-2.27121846
171,-0.79591131
172,1.52161509
173,-1.26461678
174,0.28093526
175,-0.60527847
176,4.56670242
177,0.22123755
178,-2.78962199
179,0.24580102
180,0.26047384
181,0.56669717
182,0.84792207
183,-1.35408996
184,-1.8393605500000003
185,0.25721144
186,0.43570555
187,-0.83965074
188,-3.73806523
189,-2.66203973
190,-0.55962279
191,-2.15318472
192,-1.50943774
193,0.07837513
194,-0.07848521
195,-0.2057771
196,-0.4325662
197,-0.33314248
198,-0.59003464
199,-2.12290255
200,4.31166295
201,0.4004478299999999
202,-3.48803786
203,2.37305266
204,0.34758715
205,0.03996706
206,-1.01510003
207,0.12876057
208,0.30963441
209,1.16529464
210,0.04330188
211,-2.43837187
212,-0.55839356
213,1.06826308
214,1.29437042
215,-4.01294301
216,-0.8676622699999998
217,2.45208147
218,-0.85144507
219,0.0640021
220,-0.99611175
221,-8.98132467
222,-33.21928095
223,0.75981143
224,0.3762366499999999
225,2.09340072
226,-1.0
227,0.99956297
228,0.16542361
229,2.68294219
230,-0.4750399199999999
231,-0.14978713
232,0.10000623
233,-1.69394213
234,4.2409984
235,-0.9737643700000002
236,-1.80371887
237,-0.47353885
238,2.05302111
239,0.47784607
240,-1.02795533
241,-0.36720028
242,1.0
243,-0.70764221
244,0.4646780099999999
245,0.27631134
246,-0.58114261
247,4.82698777
248,0.1236166799999999
249,-0.63608426
250,0.89743295
251,-0.9826384
252,1.04412778
253,0.15557754
254,0.42660292
255,-0.2430194799999999
256,-0.13245435
257,0.5644984
258,-33.21928095
259,-2.73145784
260,-0.3626899
261,-1.40032077
262,0.9323186
263,0.05647308
264,-0.30727331
265,0.00167653
266,0.489601
267,-5.88059074
268,0.63647935
269,-33.21928095
270,0.88365739
271,0.34775627
272,0.63908437
273,-1.0
274,-0.3066492
275,7.177495040000001
276,-0.29342694
277,0.23947064
278,-1.06751778
279,-0.60521407
280,-0.6930036
281,1.67832974
282,-6.572521589999999
283,-0.47659297
284,-0.10558626
285,1.69514542
286,-0.50059788
287,-0.01020693
288,0.26376034
289,0.04316593
290,2.17731541
291,-0.72014633
292,0.3593421
293,-0.7130894800000002
294,0.36050086
295,0.0296384399999999
296,-0.15738022
297,1.18638652
298,-0.57445902
299,-2.43220195
300,0.00099173
301,-0.62499163
302,-2.11139089
303,1.6591060500000003
304,0.2043102
305,-0.30107362
306,0.4067421500000001
307,-0.43549037
308,-1.89689691
309,-1.22944988
310,2.4733617
311,-1.79480351
312,-0.76157251
313,1.42530136
314,-0.54639889
315,3.45736982
316,0.12847601
317,0.02012428
318,-1.05322164
319,0.0
320,-0.58488288
321,-1.29550789
322,1.01800987
323,0.17166999
324,-0.42742092
325,5.08152359
326,-2.31380688
327,0.80142836
328,-1.62210487
329,-33.21928095
330,0.08479619
331,0.12437534
332,0.28655045
333,0.52422924
334,1.23192309
335,-0.77377524
336,0.20184471
337,-0.72616348
338,1.57608672
339,1.3604626
340,0.70978777
341,-1.42006966
342,0.91593574
343,0.0
344,2.68614339
345,-0.0561733899999999
346,-3.0176580199999994
347,1.01495124
348,0.40408784
349,6.39302186
350,0.4798861299999999
351,-0.535975
352,-0.10497519
353,0.95067815
354,0.20796231
355,-0.65438926
356,-0.615703
357,-2.19642265
358,-0.97607697
359,0.19314076
360,-0.71789663
361,0.09643178
362,0.40284724
363,-5.84905581
364,-1.13132743
365,-0.0264504899999999
366,-0.3673710700000001
367,-0.36510247
368,1.11373934
369,0.03338254
370,2.24434562
371,0.0141081
372,1.36293769
373,1.20650819
374,-1.0192317
375,1.59262061
376,-0.40861347
377,1.45841427
378,-0.25430829
379,-0.37148022
380,-0.41345403
381,-1.86675818
382,2.89232877
383,1.89624606
384,-0.62416345
385,-0.03191195
386,-0.04930561
387,-0.32760478
388,-0.79529384
389,-0.15124834
390,-0.7896736699999999
391,0.06884407
392,-0.9429991
393,-1.56909631
394,-0.02587978
395,-0.4609385599999999
396,-1.56999219
397,0.24668003
398,0.0
399,-2.78015037
400,-3.11325709
401,-0.71200407
402,-1.20163386
403,0.22346292
404,-2.97215802
405,-1.45314085
406,0.03867659
407,-0.10000968
408,-1.0903439
409,1.16217936
410,-2.95506699
411,-0.06754822
412,1.81147196
413,2.13662947
414,3.66150406
415,-3.48954816
416,-1.02623608
417,-0.25249226
418,-4.74783851
419,1.94430804
420,-1.19334004
421,-1.36688498
422,-0.961901
423,-33.21928095
424,0.52498115
425,-0.9359057
426,0.0799726
427,0.12216282
428,0.94432539
429,0.3479233
430,-3.10530415
431,1.79200365
432,-0.86342014
433,0.31973845
434,0.37933234
435,0.9800198
436,-0.16891585
437,0.59967991
438,0.1501563
439,0.06215934
440,0.0362213
441,-1.12610853
442,3.44871968
443,-2.02134596
444,0.00583521
445,0.1041241699999999
446,4.73113591
447,1.48977626
448,1.61494385
449,-1.40873916
450,0.0
451,-0.3789902
452,-0.5791582
453,1.14261973
454,-1.82174325
455,-0.96193173
456,0.80050144
457,0.36027216
458,-0.9352971
459,1.07589611
460,0.35481823
461,-1.15801713
462,3.51892565
463,-0.14694145
464,-0.9058866
465,0.81743425
466,-0.26137127
467,2.41644751
468,-2.05300238
469,0.33441904
470,-1.72339539
471,1.06368119
472,-0.19826574
473,0.67254234
474,0.8561679899999999
475,-0.30750364
476,1.48301392
477,-0.14765408
478,0.4769618999999999
479,-2.42612932
480,-1.97344302
481,-3.24726905
482,0.45502854
483,0.2616293
484,0.50820738
485,-2.37305295
486,0.93398693
487,1.92083111
488,-0.41834628
489,1.10007743
490,-0.26436977
491,1.99549204
492,-0.28816781
493,-0.38758271
494,-0.5851832
495,-1.31019621
496,-1.1354746
497,1.2109712800000003
498,0.62837174
499,-1.0
500,-1.3566693
501,0.18455502
502,-0.55617056
503,0.8435359299999999
504,1.53051472
505,-1.97405002
506,-0.31223705
507,0.14686457
508,-2.12851194
509,-0.28816397
510,-0.16450511
511,-1.30994491
512,-1.43489616
513,-0.79228344
514,-0.50736706
515,-0.0239042699999999
516,3.29566784
517,1.86396515
518,0.40134738
519,-0.60727063
520,-0.19481057
521,0.55849531
522,-1.08152133
523,-0.8167968100000002
524,2.05728386
525,1.23526058
526,0.02327626
527,0.89026822
528,-2.15267775
529,-0.33175872
530,0.81124999
531,-0.25380649
532,-2.07685387
533,0.06665949
534,0.38327986
535,0.18210392
536,0.06426248
537,-1.64483204
538,0.98894798
539,-2.62875297
540,0.26832158
541,-0.58825155
542,1.36392413
543,-0.16949503
544,-0.27373922
545,-2.64134784
546,2.59125279
547,0.51074766
548,-1.44946553
549,-0.2165939
550,-0.7464013899999999
