iter	Passed	Remaining
0	27	27394
1	56	28328
2	79	26390
3	99	24825
4	117	23334
5	139	23117
6	162	23039
7	183	22809
8	209	23092
9	232	23050
10	254	22919
11	278	22897
12	298	22700
13	320	22595
14	342	22501
15	362	22312
16	388	22458
17	410	22389
18	433	22390
19	459	22533
20	483	22551
21	506	22501
22	527	22386
23	545	22181
24	570	22251
25	589	22065
26	611	22040
27	632	21940
28	654	21904
29	676	21888
30	692	21651
31	716	21678
32	740	21686
33	749	21298
34	759	20941
35	782	20956
36	806	20982
37	820	20771
38	831	20498
39	855	20524
40	878	20554
41	903	20599
42	923	20544
43	937	20362
44	959	20368
45	980	20337
46	998	20239
47	1020	20232
48	1042	20233
49	1061	20161
50	1078	20068
51	1099	20044
52	1112	19878
53	1123	19682
54	1140	19589
55	1147	19349
56	1167	19316
57	1183	19228
58	1205	19227
59	1231	19295
60	1252	19279
61	1267	19174
62	1289	19185
63	1304	19075
64	1319	18973
65	1337	18933
66	1362	18973
67	1384	18979
68	1404	18949
69	1427	18968
70	1448	18946
71	1464	18876
72	1482	18827
73	1490	18656
74	1514	18679
75	1540	18729
76	1566	18774
77	1588	18782
78	1610	18781
79	1631	18763
80	1658	18812
81	1676	18770
82	1701	18795
83	1722	18778
84	1746	18803
85	1767	18789
86	1792	18809
87	1814	18803
88	1834	18782
89	1849	18705
90	1868	18662
91	1890	18654
92	1905	18584
93	1930	18604
94	1937	18456
95	1960	18456
96	1978	18416
97	1997	18384
98	2003	18237
99	2030	18273
100	2054	18290
101	2071	18241
102	2092	18220
103	2114	18217
104	2137	18220
105	2162	18236
106	2183	18223
107	2203	18203
108	2209	18061
109	2228	18033
110	2254	18058
111	2278	18063
112	2291	17988
113	2314	17984
114	2335	17973
115	2359	17981
116	2377	17942
117	2400	17946
118	2419	17915
119	2436	17869
120	2449	17792
121	2470	17776
122	2492	17773
123	2518	17791
124	2539	17776
125	2564	17791
126	2582	17753
127	2598	17701
128	2614	17649
129	2627	17583
130	2632	17463
131	2655	17463
132	2674	17437
133	2696	17425
134	2716	17402
135	2725	17312
136	2741	17267
137	2761	17246
138	2790	17281
139	2811	17273
140	2835	17274
141	2851	17230
142	2872	17212
143	2895	17211
144	2915	17189
145	2935	17171
146	2955	17148
147	2980	17157
148	2999	17131
149	3019	17108
150	3025	17012
151	3041	16968
152	3060	16940
153	3078	16911
154	3099	16895
155	3120	16884
156	3142	16873
157	3167	16882
158	3191	16878
159	3213	16870
160	3236	16866
161	3253	16832
162	3272	16805
163	3287	16757
164	3306	16735
165	3332	16741
166	3349	16709
167	3374	16711
168	3396	16700
169	3423	16714
170	3438	16671
171	3457	16643
172	3476	16620
173	3495	16592
174	3502	16509
175	3519	16476
176	3531	16419
177	3556	16424
178	3581	16426
179	3602	16411
180	3625	16407
181	3648	16396
182	3657	16328
183	3681	16327
184	3704	16320
185	3726	16306
186	3748	16295
187	3769	16280
188	3792	16273
189	3815	16264
190	3828	16214
191	3833	16132
192	3853	16113
193	3876	16105
194	3905	16121
195	3918	16072
196	3944	16079
197	3951	16003
198	3969	15976
199	3991	15964
200	4014	15956
201	4040	15961
202	4060	15941
203	4078	15914
204	4097	15889
205	4118	15875
206	4142	15869
207	4166	15865
208	4189	15854
209	4215	15859
210	4237	15844
211	4259	15832
212	4279	15812
213	4303	15805
214	4325	15791
215	4334	15733
216	4358	15727
217	4384	15726
218	4407	15718
219	4425	15690
220	4444	15667
221	4461	15635
222	4482	15617
223	4505	15609
224	4528	15597
225	4552	15590
226	4576	15584
227	4601	15579
228	4607	15512
229	4630	15500
230	4651	15486
231	4669	15456
232	4686	15427
233	4705	15403
234	4732	15407
235	4758	15404
236	4777	15380
237	4799	15366
238	4822	15354
239	4847	15350
240	4870	15340
241	4895	15334
242	4917	15318
243	4941	15311
244	4967	15308
245	4990	15296
246	5010	15274
247	5023	15231
248	5041	15205
249	5065	15196
250	5089	15188
251	5113	15179
252	5137	15170
253	5156	15143
254	5179	15133
255	5200	15114
256	5213	15071
257	5233	15051
258	5252	15026
259	5276	15018
260	5296	14996
261	5316	14976
262	5339	14963
263	5358	14937
264	5383	14930
265	5404	14913
266	5418	14875
267	5440	14858
268	5463	14848
269	5486	14834
270	5510	14823
271	5533	14809
272	5555	14794
273	5578	14780
274	5605	14777
275	5624	14753
276	5648	14742
277	5673	14733
278	5689	14702
279	5712	14689
280	5736	14677
281	5754	14651
282	5778	14640
283	5802	14629
284	5824	14612
285	5849	14603
286	5873	14592
287	5898	14583
288	5923	14572
289	5949	14565
290	5974	14555
291	6000	14548
292	6024	14535
293	6047	14522
294	6067	14500
295	6091	14488
296	6115	14476
297	6132	14446
298	6152	14424
299	6177	14414
300	6201	14402
301	6226	14391
302	6249	14375
303	6268	14351
304	6292	14339
305	6316	14324
306	6339	14310
307	6364	14299
308	6378	14262
309	6398	14241
310	6421	14226
311	6442	14206
312	6467	14196
313	6485	14169
314	6510	14156
315	6528	14131
316	6553	14119
317	6575	14101
318	6598	14087
319	6613	14053
320	6636	14037
321	6659	14022
322	6683	14009
323	6708	13996
324	6725	13967
325	6744	13944
326	6770	13934
327	6793	13918
328	6819	13909
329	6844	13896
330	6859	13864
331	6880	13844
332	6906	13833
333	6933	13824
334	6955	13807
335	6981	13797
336	7007	13785
337	7031	13771
338	7055	13756
339	7080	13744
340	7104	13729
341	7126	13711
342	7151	13699
343	7175	13683
344	7200	13670
345	7225	13658
346	7250	13644
347	7274	13629
348	7295	13609
349	7317	13590
350	7341	13575
351	7361	13551
352	7382	13532
353	7404	13511
354	7426	13492
355	7452	13480
356	7472	13458
357	7494	13439
358	7519	13425
359	7546	13415
360	7568	13396
361	7591	13379
362	7616	13365
363	7640	13350
364	7665	13336
365	7686	13315
366	7709	13298
367	7725	13267
368	7749	13251
369	7776	13240
370	7801	13227
371	7824	13208
372	7849	13195
373	7870	13174
374	7895	13159
375	7914	13134
376	7942	13124
377	7963	13104
378	7976	13069
379	7999	13052
380	8022	13034
381	8043	13013
382	8057	12979
383	8073	12951
384	8088	12920
385	8112	12904
386	8132	12881
